Er stieg ... dem Autobus.;aus;von;-;1;
Er stieg ... Moped.;aus dem;vom;-;2;
Er stieg ... Taxi.;-;vom;aus dem;3;
Sie stieg ... Zug.;aus dem;vom;-;1;
Sie stieg ... Fahrrad.;aus;von;-;2;
Sie stieg ... der straßenbahn.;von;-;aus;3;
Wann werden Sie ... Urlaub zurück sein?;aus dem;vom;-;1;
Wann werden Sie ... Bodensee zurück sein?;aus dem;vom;-;2;
Wann kommt er gewöhlich ... der Arbeit nach Hause?;-;aus;von;3;
Wann kommt er gewöhlich ... Büro nach Hause?;aus dem;vom;-;1;
Wann kommt er gewöhlich ... Dienst nach Hause?;vom;aus dem;-;2;
Sind Sie schon lange ... Ihrer reise zurück?;aus;-;von;3;
Sind Sie schon lange ... Krankenhaus zurück?;aus dem;vom;-;1;
Sind Sie schon lange ... der Untersuchung zurück?;aus;von;-;2;
Mir ist ein Stein ... Herzen gefallen, als ich das erfuhr.;-;aus dem;vom;3;
Der Wind riß ihm den Hut ... Kopf.;vom;aus dem;-;1;
Der Wind riß ihm die Zeitung ... der Hand.;von;aus;-;2;
Ich trinke nicht gern ... der Flasche.;-;von;aus;3;
Warum ist Frau Berkel nicht da? Sie ist noch nicht ... der Stadt zurück?;aus;von;-;1;
Warum ist Frau Berkel nicht da? Sie ist noch nicht ... Einkaufen zurück?;aus dem;vom;-;2;
Warum ist Frau Berkel nicht da? Sie ist noch nicht ... Frisör zurück?;-;aus dem;vom;3;
