Beim Anblick der Maus ______ Gerda in Ohnmacht gefallen.;ist;hat;-;1; 
Aber nachher _______ alles schief gegangen.;hat;ist;-;2;
Klaus _______ ihr erst kürzlich auf einer Party begegnet.;-;hat;ist;3;
Mein Vater _______ 15 000 Kilometer geflogen.;ist;hat-;1;
Ich _______ mich nach Hause beeilt.;bin;habe;-;2;
Helena _______ dem Beispiel ihres Vaters gefolgt.;-;hat;ist;3;
Er _______ diese Arbeit in einer Woche geschafft.;hat;ist;-;1;
Der Apfelkuchen _______ ihr auch diesmal gut gelungen.;hat;ist;-;2;
Claudia _______ ebenfalls Arzt geworden.;-;hat;ist;3;
Es _______ sich um diese Frage gehandelt.;hat;ist;-;1;
Rudi _______ den Hubschrauber MI-8 meisterhaft geflogen.;ist;hat;-;2;
Helmut _______ das nicht gewollt.;-;ist;hat;3;
Der Blitz _______ in einen Baum gefahren.;ist;hat;-;1;
Der Bus _______ gerade die Grenze passiert.;ist;hat;-;2;
Albert _______ mir auf den Fuß getreten.;-;hat;ist;3;
