Ihm ist Schlimmes ________________.;widerfahren;widergefahren;-;1;
Alexander hat die Hosentaschen _______________.;umstülpt;umgestülpt;-;2;
Es hat ihm _______________, Schulden zu zahlen.;widergestrebt;-;widerstrebt;3;
Als Politiker hat er seine persönlichen Interessen der Partei_______________.;untergeordnet;unterordnet;-;1;
Die Mutter hat das Haus auf ihren Sohn _______________.;umschrieben;umgeschrieben;-;2;
Seine wohlgemeinten Ermahnungen sind dann manchmal imGelächter und Lärm ______________.;untergangen;-;untergegangen;3;
Erika hat während des Kochens den Brei _______________.;umgerührt;umrührt;-;1;
Der Gast hat versehentlich ein Bierglas _______________.;umstoßen;umgestoßen;-;2;
Diese Idee hat ihn völlig ________________.;-;durchgedrungen;durchdrungen;3;
Die Mutter hat die Betten frisch ______________.;überzogen;übergezogen;-;1;
Der Hubschrauber hat den Unfallort ______________.;umgekreist;umkreist;-;2;
Kersten hat die Torte mit Zuckerguss _______________.;-;übergezogen;überzogen;3;
Der Sturm hat viele Bäume und Telefonmasten __________.;umgerissen;umrissen;-;1;
Das hat meine Erwartungen _______________.;übergetroffen;übertroffen;-;2;
