Warum haben Sie nichts Gesagt? Ich habe nicht ... Stolz,nur Höflichkeit geschwiegen.;aus;;;1;
Warum lesen Sie das Buch? Das tue ich wirklich ... Interesse.;vor;aus;-;2;
Sie ist ganz krank ... Ungeduld.;-;aus;vor;3;
warum konnten Sie nicht schlafen? Ich konnte ... Lärm nicht schlafen.;-;aus;vor;1;
Warum tut er das? ... Überzeugung.;vor;aus;-;2;
Warum hat er ihm geholfen? ... Mitleid;-;vor;aus;3;
Warum hat sie nichts gesagt? Sie konnte ... Aufregung nichts sagen.;vor;aus;-;1;
Warum hat er das getan? ... Überzeugung;-;aus;vor;2;
Was war mit ihr? Sie war außer sich ... Zorn.;aus;-;vor;3;
Warum schwieg er? ... Beschadenheit.;aus;vor;-;1;
Wie ist das geschehen? Nicht ... Absicht, sondern Versehen.;vor;aus;-;2;
Warum ist das geschehen? ... Dummheit.;-;vor;aus;3;

