Die kranke Mutter wurde _________ ihrer Tochter gepflegt.;von;mit;durch;1;
Der Brief ist ______ dem Kugelschreiber geschrieben worden.;durch;mit;von;2; 
Die Stadt Spitak wurde ______ das Erdbeben völlig zerstört.;mit;von;durch;3;
Der Verletzte wurde _________ einem erfahrenen Chirurgen operiert.;von;durch;mit;1; 
Ich bin zu100 schnell gefahren und wurde ______ der Polizei angehalten.;mit;von;durch;2; 
Der Unfall ist _________ einen Fußgänger verursacht worden.;mit;von;durch;3; 
Die Straße wurde _______ einen Unfall unpassierbar gemacht.;durch;mit;von;1; 
Der Hund wird _______ dem Jungen mit einem Gummistock geschlagen.;mit;von;durch;2;
Der Junge wurde _______ einem Hund gebissen.;durch;mit;von;3; 
Das Papier wurde ______ der Schere geschnitten.;mit;durch;mit;1; 
Die Tür wurde _________ Einbrecher mit einem Nachschlüssel geöffnet.;durch dem;vom;mit dem;2; 
Das Hähnchen wurde _________ Hausherrn persönlich zubereitet.;durch dem;mit dem;vom;3; 
Ich wurde ________ Direktor angerufen.;vom;durch dem;mit dem;1; 
Die Bücher werden ______ der Bibliothekarin ausgeliehen.;durch;von;mit;2;
Der Teppich wurde _____ dieser Frau mit der Hand gewebt.;durch;mit;von;3; 
Sie wurde ______ der Firma eingeladen.;von;durch;mit;1; 
Die Tafel wurde ______ dem Lappen gewischt.;durch;mit;von;2; 
Karl wurde _______das Geräusch geweckt.;mit;von;durch;3; 
Der Brief wird ______ die Post geschickt.;durch;von;mit;1;

