Das Bauernhaus ist ________ Blitz getroffen worden.;vom;durch den;mit dem;1; 
Sie wurde _______ ihre Freundin (als Vermittlerin) über seine Anreise informiert.;von;durch;mit;2; 
Die Flasche wurde vom Winzer _______ Wein gefüllt.;durch;von;mit;3; 
Das Boot wurde _______ Wind an Land getrieben.;vom;durch den;mit dem;1; 
Die Ware wird ____ Bahn geliefert.;durch die;mit der;von der;2; 
Der Verkehrsunfall ist ______ Nachlässigkeit des Fahrers verursacht worden.;mit der;von der;durch die;3; 
Das Pferd wurde vom Kutscher _____  Peitsche geschlagen.;mit der;durch die;von der;1; 
Das Gebäude wurde ______ Explosion stark beschädigt.;mit der;durch die;von der;2; 
Die Rechnung wurde ________ Scheck bezahlt.;durch;von;mit;3; 
Die Wildkaninchen wurden _________ Licht geblendet.;vom;durch das;mit dem;1;
Der Tatort wurde ________ Polizisten (Pl.) gesichert.;mit;von/durch;von;2; 
Zum Glück wurde er _____ Kugel nicht getroffen.;mit der;durch die;von der;3; 
Der defekte Wagen wurde _________ Abschleppdienst abgeschleppt.;vom;durch den;mit dem;1; 
Das Paket wird von seinem Vater _______ Post geschickt.;mit der;durch die;von der;2; 
Der Nagel wurde vom Handwerker ______ Hammer in die Wand geschlagen.;durch den;vom;mit dem;3; 
Diese Krankheit wird _________ Insekten (Pl.) übertragen.;durch;von;mit;1; 
Das Holz wurde vom Landwirt ______ Axt gehackt.;von der;mit der;durch die;2; 
Die Kiste wurde ______ Nägel zugenagelt.;durch;von;mit;3; 
Die Luft wird _______ Abgase noch immer verpestet.;durch die;mit der;von der;1; 
Die Kopierer wurden _______  Wagen geliefert.;von dem;mit dem;durch den;2; 
Das feindliche Schiff wurde vom U-Boot _______  Torpedo versenkt.;mit einem;von einem;durch einen;1;

