Der Brief ist _______ der Maschine geschrieben worden.;mit;durch;von;1; 
Er wurde ____ den Tod der Mutter überrascht.;mit;durch;von;2; 
Andreas und Susi wurden von uns ________ eine E-Mail-Mitteilung über das Programm ihres Aufenthalts in Minsk verständigt.;mit;von;durch;3; 
Der Fußgänger wurde _____ einem Auto angefahren.;von;durch;mit;1; 
Er wurde vom Hooligan _____ dem Stock geschlagen.;von;mit;durch;2;
An der Grenze wurde unser Gepäck vom Zollbeamten ________ einem speziellem Gerät kontrolliert.;von;durch;mit;3; 
Die Antenne wurde _________ Handwerker installiert.;vom;mit dem;durch den;1; 
Rudolf wurde _________ seiner Mutter überzeugt.;mit;von;durch;2; 
Diese Nachricht wurde _____ den Lautsprecher bekannt gegeben.;von;mit;durch;3; 
Der Fleck kann _____ Wasser entfernt werden.;mit;durch;von;1; 
Der Passant wurde vom Auto _________ schmutzigem Wasser bespritzt.;durch;von;mit;;2; 
Der Waldarbeiter wurde ________ Baum getötet.;durch den;mit dem;vom;3; 
Er wurde _______ Erfolg beflügelt.;vom;durch den;mit dem;1; 
Klaus wurde ______ Klassenlehrer gelobt.;durch;vom;mit;2; 
Er wurde nicht _____der Faust geschlagen.;durch;von;mit;3; 
Der Zettel ist vom Vater ______ Bleistift geschrieben worden.;mit dem;vom;-;1; 
Die Stadt wurde _______ Bomben fast vollständig zerstört.;mit;durch;von;2; 
Sie wurde vpm Goethe-Institut _____ das Schreiben benachrichtigt.;mit;von;durch;3; 
Theater werden _________ Staat subventioniert.;vom;durch den;mit dem;1; 
Das alte Gebäude wurde _________ Bauleuten abgerissen.;mit;von;durch;2;
