Kristina hat das Gästezimmer _______________.;umgeräumt;umräumt;-;1;
Korrupte Geschäfte haben das Ansehen des Politikers ___________.;untergegraben;untergraben;-;2;
Die Kinderfrau hat die Kinder am Tisch ______________.;-;umsetzt;umgesetzt;3;
Dadurch hat er lang gehegte Wünsche in die Tat _____________.;umgesetzt;umsetzt;-;1;
Willfried hat bei kaltem Wetter einen Pullover ______________.;unterzogen;untergezogen;-;2;
Paul hat dabei seine Kritik ________________.;-;übergezogen;überzogen;3;
Der Vater ist streng mit seinen Kindern ______________.;umgegangen;umgangen;-;1;
Emma hat sich einer ärzlichen Untersuchung ______________.;untergezogen;unterzogen;-;2;
Der Gärtner hat Torf im Beet __________________.;-;untergraben;untergegraben;3;
Jan hat sich mit seiner Freundin/mit seinem Chef _____________.;überworfen;übergeworfen;-;1;
Wir hat das Hindernis langsam _______________.;umgefahren;umfahren;-;2;
Der Student hat den Zeitungsartikel allzu frei _______________.;-;übergesetzt;übersetzt;3;
